npc_id,npc_symbol,action,variant,sequence_id,sequence_symbol,spotanim_id,spotanim_symbol,placement,confidence,source,evidence
27,ardougne_archer,attack,Iron arrow,426,human_bow,18,iron_arrow_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/areas/area_ardougne_east/configs/ardougne_east.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
27,ardougne_archer,attack,Iron arrow,426,human_bow,9,iron_arrow_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/areas/area_ardougne_east/configs/ardougne_east.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
168,gnomefemale,attack,Iron arrow,190,midget_attackbow,18,iron_arrow_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/areas/area_gnome/configs/gnome.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
168,gnomefemale,attack,Iron arrow,190,midget_attackbow,9,iron_arrow_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/areas/area_gnome/configs/gnome.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
169,gnomefemale_dskinned,attack,Iron arrow,190,midget_attackbow,18,iron_arrow_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/areas/area_gnome/configs/gnome.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
169,gnomefemale_dskinned,attack,Iron arrow,190,midget_attackbow,9,iron_arrow_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/areas/area_gnome/configs/gnome.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
479,gnomeknight,attack,Iron arrow,190,midget_attackbow,18,iron_arrow_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/areas/area_gnome/configs/gnome.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
479,gnomeknight,attack,Iron arrow,190,midget_attackbow,9,iron_arrow_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/areas/area_gnome/configs/gnome.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
480,d_skingnomeknight,attack,Iron arrow,190,midget_attackbow,18,iron_arrow_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/areas/area_gnome/configs/gnome.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
480,d_skingnomeknight,attack,Iron arrow,190,midget_attackbow,9,iron_arrow_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/areas/area_gnome/configs/gnome.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
678,ranging_guild_guard,attack,Iron arrow,426,human_bow,18,iron_arrow_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/minigames/game_ranging/configs/ranging.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
678,ranging_guild_guard,attack,Iron arrow,426,human_bow,9,iron_arrow_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/minigames/game_ranging/configs/ranging.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
688,guild_towerarcher1,attack,Iron arrow,426,human_bow,18,iron_arrow_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/minigames/game_ranging/configs/ranging.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
688,guild_towerarcher1,attack,Iron arrow,426,human_bow,9,iron_arrow_travel,projectile,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/minigames/game_ranging/configs/ranging.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
689,guild_towerarcher2,attack,Steel arrow,426,human_bow,20,steel_arrow_launch,source,high,https://raw.githubusercontent.com/RustCityRS/rs-majula/767d3bfedafc3fd91d5d994cdfffed2cec628dcc/content/289/scripts/minigames/game_ranging/configs/ranging.npc,NPC config explicitly supplies attack_anim and proj_launch/proj_travel.
